Time, Price
1627862400000,14.12
1627948800000,14.04
1628035200000,14.222
1628121600000,14.054
1628208000000,14.634
1628467200000,14.632
1628553600000,14.8
1628640000000,15.0
1628726400000,14.904
1628812800000,15.02
1629072000000,14.68
1629158400000,14.36
1629244800000,14.2
1629331200000,14.25
1629417600000,14.104
1629676800000,14.32
1629763200000,14.306
1629849600000,14.462
1629936000000,14.6
1630022400000,14.5
1630281600000,14.324
1630368000000,14.104
1630454400000,14.464
1630540800000,14.156
1630627200000,13.96
1630886400000,14.118
1630972800000,14.13
1631059200000,13.932
1631145600000,13.85
1631232000000,13.85
1631491200000,14.152
1631577600000,14.1
1631664000000,14.03
1631750400000,14.34
1631836800000,14.038
1632096000000,13.45
1632182400000,13.456
1632268800000,13.908
1632355200000,14.1
1632441600000,14.3
1632700800000,14.6
1632787200000,14.5
1632873600000,14.42
1632960000000,14.48
1633046400000,14.32
1633305600000,14.24
1633392000000,14.912
1633478400000,14.936
1633564800000,15.23
1633651200000,15.5
1633910400000,15.402
1633996800000,15.4
1634083200000,15.05
1634169600000,15.05
1634256000000,15.3
1634515200000,15.198
1634601600000,15.35
1634688000000,15.404
1634774400000,15.32
1634860800000,15.3
1635120000000,15.35
1635206400000,15.5
1635292800000,15.17
1635379200000,15.2
1635465600000,14.98
1635811200000,15.15
1635897600000,14.98
1635984000000,14.9
1636070400000,14.92
1636329600000,14.81
1636416000000,14.75
1636502400000,14.75
1636675200000,14.768
1636934400000,14.942
1637020800000,14.95
1637107200000,14.8
1637193600000,14.534
1637280000000,14.15
1637539200000,14.6
1637625600000,14.45
1637712000000,14.1
1637798400000,14.18
1637884800000,13.312
1638144000000,13.086
1638230400000,12.958
1638316800000,12.9
1638403200000,12.93
1638489600000,12.65
1638748800000,12.826
1638835200000,12.946
1638921600000,12.65
1639008000000,12.512
1639094400000,12.488
1639353600000,12.358
1639440000000,12.44
1639526400000,12.25
1639612800000,12.71
1639699200000,12.81
1639958400000,12.69
1640044800000,12.862
1640131200000,12.95
1640217600000,13.5
1640563200000,13.35
1640649600000,13.378
1640736000000,13.5
1640822400000,13.48
1641168000000,13.52
1641254400000,13.762
1641340800000,13.9
1641513600000,14.038
1641772800000,14.076
1641859200000,14.1
1641945600000,14.2
1642032000000,14.16
1642118400000,14.252
1642377600000,14.21
1642464000000,14.106
1642550400000,14.18
1642636800000,14.13
1642723200000,13.85
1642982400000,13.422
1643068800000,13.88
1643155200000,14.258
1643241600000,14.63
1643328000000,14.34
1643587200000,14.3
1643673600000,14.386
