Time,Price
1627948800000,12.78
1628035200000,13.08
1628121600000,13.55
1628208000000,13.64
1628467200000,14.18
1628553600000,14.45
1628640000000,14.88
1628726400000,14.45
1628812800000,14.28
1629072000000,14.0
1629158400000,13.92
1629244800000,13.94
1629331200000,14.3
1629417600000,14.47
1629676800000,14.38
1629763200000,14.06
1629849600000,14.09
1629936000000,14.26
1630022400000,14.3
1630281600000,14.29
1630368000000,14.2
1630454400000,13.93
1630540800000,14.01
1630627200000,13.9
1630886400000,13.66
1630972800000,13.7
1631059200000,13.88
1631145600000,13.71
1631232000000,13.61
1631491200000,13.59
1631577600000,13.42
1631664000000,13.65
1631750400000,13.43
1631836800000,13.69
1632096000000,13.97
1632182400000,14.07
1632268800000,13.78
1632355200000,13.58
1632441600000,13.72
1632700800000,13.9
1632787200000,14.01
1632873600000,14.1
1632960000000,14.07
1633046400000,13.91
1633305600000,13.84
1633392000000,13.73
1633478400000,14.34
1633564800000,14.11
1633651200000,14.21
1633910400000,14.0
1633996800000,14.95
1634083200000,14.7
1634169600000,14.75
1634256000000,15.1
1634515200000,15.03
1634601600000,15.3
1634688000000,15.69
1634774400000,15.4
1634860800000,15.43
1635120000000,15.7
1635206400000,16.52
1635292800000,16.2
1635379200000,16.34
1635465600000,16.42
1635811200000,16.16
1635897600000,15.84
1635984000000,16.0
1636070400000,16.0
1636329600000,16.32
1636416000000,16.1
1636502400000,15.83
1636675200000,16.03
1636934400000,16.02
1637020800000,16.05
1637107200000,15.85
1637193600000,15.84
1637280000000,15.59
1637539200000,15.38
1637625600000,15.33
1637712000000,15.2
1637798400000,15.29
1637884800000,16.1
1638144000000,16.0
1638230400000,15.7
1638316800000,16.15
1638403200000,16.88
1638489600000,16.97
1638748800000,16.55
1638835200000,16.6
1638921600000,16.86
1639008000000,16.84
1639094400000,16.55
1639353600000,16.49
1639440000000,15.96
1639526400000,15.73
1639612800000,15.96
1639699200000,15.78
1639958400000,15.9
1640044800000,16.18
1640131200000,16.02
1640217600000,15.98
1640563200000,16.1
1640649600000,15.97
1640736000000,16.61
1640822400000,16.78
1641168000000,16.94
1641254400000,16.55
1641340800000,16.61
1641513600000,17.33
1641772800000,16.28
1641859200000,16.4
1641945600000,16.52
1642032000000,16.75
1642118400000,16.79
1642377600000,16.83
1642464000000,16.61
1642550400000,16.85
1642636800000,17.0
1642723200000,16.8
1642982400000,16.59
1643068800000,16.49
1643155200000,16.46
1643241600000,16.55
1643328000000,16.53
1643587200000,16.57
1643673600000,16.11
1643760000000,16.42
